pan,tilt,dist
-0.4,2.0,20
27,-3.0,20
55.5,-11.6,20
-14.7,0.2,20
-18.0,-0.1,20
-44.6,-6.7,20
0.5,22.7,40
19.2,21.2,40
69.7,3.8,40
-71.0,5.1,40
-45.0,15.1,40
-22.6,20.6,40
3.67,34.3,60
-12.9,34.9,60
-31.8,32.1,60
26.1,32.7,60
42.6,27.4,60
64.5,20.0,60
1.8,42.2,80
31.2,38.0,80
58.0,29.1,80
-34.3,38.6,80
-52.0,33.8,80
-66.7,28.4,80
1.4,47.0,100
-28.5,45.0,100
-46.9,40.8,100
27.1,44.5,100
50.3,37.2,100
69.5,30.5,100
1.1,49.9,120
22.7,47.9,120
46.5,41.5,120
-22.6,48.3,120
-42.1,44.7,120
-62.0,38.6,120
