pan,tilt,dist
-1.6, 2.4, 20
17.1, -0.3, 20
27.5, -2.9, 20
1.6, 2.4, 20
-17.1, -0.3, 20
-27.5, -2.9, 20
0.5, 23.5, 40
24.5, 19.9, 40
43.0, 15.1, 40
-0.5, 23.5, 40
-24.5, 19.9, 40
-43.0, 15.1, 40
48.5, 25.4, 60
29.4, 31.2, 60
0.3, 35.3, 60
-48.5, 25.4, 60
-29.4, 31.2, 60
-0.3, 35.3, 60
0.0,43.2, 80
28.4, 38.7, 80
49.2, 33.2, 80
0.0,43.2, 80
-28.4, 38.7, 80
-49.2, 33.2, 80
51.8, 38.2, 100
27.7, 44.7, 100
2.4, 47.3, 100
-51.8, 38.2, 100
-27.7, 44.7, 100
-2.4, 47.3, 100
3.1, 52.1, 120
30.8, 48.8, 120
51.2, 42.4, 120
-3.1, 52.1, 120
-30.8, 48.8, 120
-51.2, 42.4, 120



